           x           y
   8874.1900   5796.3027
   8909.5454   5807.0349
   8944.9007   5817.6691
   8980.2561   5828.2051
   9015.6114   5838.6431
   9050.9667   5848.9829
   9086.3221   5859.2246
   9121.6774   5869.3683
   9157.0328   5879.4138
   9192.3881   5889.3613
   9227.7434   5899.2106
   9263.0988   5908.9618
   9298.4541   5918.6150
   9333.8094   5928.1700
   9369.1648   5937.6269
   9404.5201   5946.9858
   9439.8755   5956.2465
   9475.2308   5965.4092
   9510.5861   5974.4737
   9545.9415   5983.4401
   9581.2968   5992.3085
   9616.6522   6001.0787
   9652.0075   6009.7509
   9687.3628   6018.3249
   9722.7182   6026.8008
   9758.0735   6035.1787
   9793.4289   6043.4584
   9828.7842   6051.6400
   9864.1395   6059.7236
   9899.4949   6067.7090
   9934.8502   6075.5964
   9970.2055   6083.3856
  10005.5609   6091.0767
  10040.9162   6098.6698
  10076.2716   6106.1647
  10111.6269   6113.5616
  10146.9822   6120.8603
  10182.3376   6128.0609
  10217.6929   6135.1635
  10253.0483   6142.1679
  10288.4036   6149.0742
  10323.7589   6155.8825
  10359.1143   6162.5926
  10394.4696   6169.2047
  10429.8249   6175.7186
  10465.1803   6182.1344
  10500.5356   6188.4522
  10535.8910   6194.6718
  10571.2463   6200.7934
  10606.6016   6206.8168
  10641.9570   6212.7421
  10677.3123   6218.5694
  10712.6677   6224.2985
  10748.0230   6229.9295
  10783.3783   6235.4625
  10818.7337   6240.8973
  10854.0890   6246.2341
  10889.4444   6251.4727
  10924.7997   6256.6132
  10960.1550   6261.6557
  10995.5104   6266.6000
  11030.8657   6271.4462
  11066.2210   6276.1944
  11101.5764   6280.8444
  11136.9317   6285.3964
  11172.2871   6289.8502
  11207.6424   6294.2059
  11242.9977   6298.4636
  11278.3531   6302.6231
  11313.7084   6306.6846
  11349.0638   6310.6479
  11384.4191   6314.5131
  11419.7744   6318.2803
  11455.1298   6321.9493
  11490.4851   6325.5202
  11525.8405   6328.9931
  11561.1958   6332.3678
  11596.5511   6335.6445
  11631.9065   6338.8230
  11667.2618   6341.9034
  11702.6171   6344.8858
  11737.9725   6347.7700
  11773.3278   6350.5561
  11808.6832   6353.2442
  11844.0385   6355.8341
  11879.3938   6358.3260
  11914.7492   6360.7197
  11950.1045   6363.0153
  11985.4599   6365.2129
  12020.8152   6367.3123
  12056.1705   6369.3136
  12091.5259   6371.2169
  12126.8812   6373.0220
  12162.2366   6374.7291
  12197.5919   6376.3380
  12232.9472   6377.8488
  12268.3026   6379.2616
  12303.6579   6380.5762
  12339.0132   6381.7928
  12374.3686   6382.9112
  12409.7239   6383.9315
  12445.0793   6384.8538
  12480.4346   6385.6779
  12515.7899   6386.4039
  12551.1453   6387.0319
  12586.5006   6387.5617
  12621.8560   6387.9935
  12657.2113   6388.3271
  12692.5666   6388.5626
  12727.9220   6388.7001
  12763.2773   6388.7394
  12798.6327   6388.6806
  12833.9880   6388.5238
  12869.3433   6388.2688
  12904.6987   6387.9158
  12940.0540   6387.4646
  12975.4093   6386.9153
  13010.7647   6386.2680
  13046.1200   6385.5225
  13081.4754   6384.6789
  13116.8307   6383.7373
  13152.1860   6382.6975
  13187.5414   6381.5597
  13222.8967   6380.3237
  13258.2521   6378.9896
  13293.6074   6377.5575
  13328.9627   6376.0272
  13364.3181   6374.3988
  13399.6734   6372.6724
  13435.0287   6370.8478
  13470.3841   6368.9252
  13505.7394   6366.9044
  13541.0948   6364.7855
  13576.4501   6362.5686
  13611.8054   6360.2535
  13647.1608   6357.8403
  13682.5161   6355.3291
  13717.8715   6352.7197
  13753.2268   6350.0123
  13788.5821   6347.2067
  13823.9375   6344.3030
  13859.2928   6341.3013
  13894.6482   6338.2014
  13930.0035   6335.0035
  13965.3588   6331.7074
  14000.7142   6328.3132
  14036.0695   6324.8210
  14071.4248   6321.2306
  14106.7802   6317.5421
  14142.1355   6313.7556
  14177.4909   6309.8709
  14212.8462   6305.8882
  14248.2015   6301.8073
  14283.5569   6297.6283
  14318.9122   6293.3513
  14354.2676   6288.9761
  14389.6229   6284.5028
  14424.9782   6279.9315
  14460.3336   6275.2620
  14495.6889   6270.4945
  14531.0443   6265.6288
  14566.3996   6260.6650
  14601.7549   6255.6032
  14637.1103   6250.4432
  14672.4656   6245.1851
  14707.8209   6239.8290
  14743.1763   6234.3747
  14778.5316   6228.8223
  14813.8870   6223.1719
  14849.2423   6217.4233
  14884.5976   6211.5767
  14919.9530   6205.6319
  14955.3083   6199.5890
  14990.6637   6193.4481
  15026.0190   6187.2090
  15061.3743   6180.8718
  15096.7297   6174.4366
  15132.0850   6167.9032
  15167.4404   6161.2718
  15202.7957   6154.5422
  15238.1510   6147.7145
  15273.5064   6140.7888
  15308.8617   6133.7649
  15344.2170   6126.6429
  15379.5724   6119.4229
  15414.9277   6112.1047
  15450.2831   6104.6885
  15485.6384   6097.1741
  15520.9937   6089.5616
  15556.3491   6081.8511
  15591.7044   6074.0424
  15627.0598   6066.1356
  15662.4151   6058.1308
  15697.7704   6050.0278
  15733.1258   6041.8268
  15768.4811   6033.5276
  15803.8364   6025.1303
  15839.1918   6016.6350
  15874.5471   6008.0415
  15909.9025   5999.3499
  15945.2578   5990.5603
  15980.6131   5981.6725
  16015.9685   5972.6867
  16051.3238   5963.6027
  16086.6792   5954.4206
  16122.0345   5945.1405
  16157.3898   5935.7622
  16192.7452   5926.2858
  16228.1005   5916.7114
  16263.4559   5907.0388
  16298.8112   5897.2682
  16334.1665   5887.3994
  16369.5219   5877.4325
  16404.8772   5867.3676
  16440.2325   5857.2045
  16475.5879   5846.9433
  16510.9432   5836.5841
  16546.2986   5826.1267
  16581.6539   5815.5712
  16617.0092   5804.9177
  16652.3646   5794.1660
  16687.7199   5783.3163
  16723.0753   5772.3684
  16758.4306   5761.3224
  16793.7859   5750.1784
  16829.1413   5738.9362
  16864.4966   5727.5959
  16899.8520   5716.1576
  16935.2073   5704.6211
  16970.5626   5692.9866
  17005.9180   5681.2539
  17041.2733   5669.4231
  17076.6286   5657.4943
  17111.9840   5645.4673
  17147.3393   5633.3422
  17182.6947   5621.1191
  17218.0500   5608.7978
  17253.4053   5596.3784
  17288.7607   5583.8610
  17324.1160   5571.2454
  17359.4714   5558.5318
  17394.8267   5545.7200
  17430.1820   5532.8101
  17465.5374   5519.8022
  17500.8927   5506.6961
  17536.2481   5493.4919
  17571.6034   5480.1897
  17606.9587   5466.7893
  17642.3141   5453.2909
  17677.6694   5439.6943
  17713.0247   5425.9996
  17748.3801   5412.2069
  17783.7354   5398.3160
  17819.0908   5384.3270
  17854.4461   5370.2400
  17889.8014   5356.0548
  17925.1568   5341.7715
  17960.5121   5327.3902
  17995.8675   5312.9107
  18031.2228   5298.3332
  18066.5781   5283.6575
  18101.9335   5268.8837
  18137.2888   5254.0119
  18172.6442   5239.0419
  18207.9995   5223.9738
  18243.3548   5208.8077
  18278.7102   5193.5434
  18314.0655   5178.1811
  18349.4208   5162.7206
  18384.7762   5147.1620
  18420.1315   5131.5054
  18455.4869   5115.7506
  18490.8422   5099.8977
  18526.1975   5083.9468
  18561.5529   5067.8977
  18596.9082   5051.7505
  18632.2636   5035.5053
  18667.6189   5019.1619
  18702.9742   5002.7205
  18738.3296   4986.1809
  18773.6849   4969.5432
  18809.0402   4952.8075
  18844.3956   4935.9736
  18879.7509   4919.0416
  18915.1063   4902.0116
  18950.4616   4884.8834
  18985.8169   4867.6571
  19021.1723   4850.3328
  19056.5276   4832.9103
  19091.8830   4815.3898
  19127.2383   4797.7711
  19162.5936   4780.0543
  19197.9490   4762.2395
  19233.3043   4744.3265
  19268.6597   4726.3154
  19304.0150   4708.2063
  19339.3703   4689.9990
  19374.7257   4671.6936
  19410.0810   4653.2902
  19445.4363   4634.7886
  19480.7917   4616.1890
  19516.1470   4597.4912
  19551.5024   4578.6953
  19586.8577   4559.8014
  19622.2130   4540.8093
  19657.5684   4521.7191
  19692.9237   4502.5309
  19728.2791   4483.2445
  19763.6344   4463.8601
  19798.9897   4444.3775
  19834.3451   4424.7968
  19869.7004   4405.1181
  19905.0558   4385.3412
  19940.4111   4365.4662
  19975.7664   4345.4932
  20011.1218   4325.4220
  20046.4771   4305.2527
  20081.8324   4284.9854
  20117.1878   4264.6199
  20152.5431   4244.1563
  20187.8985   4223.5947
  20223.2538   4202.9349
  20258.6091   4182.1771
  20293.9645   4161.3211
  20329.3198   4140.3670
  20364.6752   4119.3149
  20400.0305   4098.1646
  20435.3858   4076.9162
  20470.7412   4055.5698
  20506.0965   4034.1252
  20541.4519   4012.5825
  20576.8072   3990.9418
  20612.1625   3969.2029
  20647.5179   3947.3660
  20682.8732   3925.4309
  20718.2285   3903.3977
  20753.5839   3881.2665
  20788.9392   3859.0371
  20824.2946   3836.7096
  20859.6499   3814.2841
  20895.0052   3791.7604
  20930.3606   3769.1386
  20965.7159   3746.4188
  21001.0713   3723.6008
  21036.4266   3700.6848
  21071.7819   3677.6706
  21107.1373   3654.5583
  21142.4926   3631.3480
  21177.8479   3608.0395
  21213.2033   3584.6329
  21248.5586   3561.1283
  21283.9140   3537.5255
  21319.2693   3513.8246
  21354.6246   3490.0257
  21389.9800   3466.1286
  21425.3353   3442.1335
  21460.6907   3418.0402
  21496.0460   3393.8488
  21531.4013   3369.5594
  21566.7567   3345.1718
  21602.1120   3320.6861
  21637.4674   3296.1024
  21672.8227   3271.4205
  21708.1780   3246.6405
  21743.5334   3221.7625
  21778.8887   3196.7863
  21814.2440   3171.7120
  21849.5994   3146.5397
  21884.9547   3121.2692
  21920.3101   3095.9007
  21955.6654   3070.4340
  21991.0207   3044.8692
  22026.3761   3019.2064
  22061.7314   2993.4454
  22097.0868   2967.5863
  22132.4421   2941.6292
  22167.7974   2915.5739
  22203.1528   2889.4205
  22238.5081   2863.1691
  22273.8635   2836.8195
  22309.2188   2810.3719
